,C1061.pdf,C1070.pdf,C1080.pdf,C1161.pdf,C1164.pdf,C1191.pdf,C1212.pdf,C1228.pdf,C1236.pdf,C1320.pdf,C1446.pdf,C1487.pdf,C1499.pdf,C1547.pdf,C1627.pdf,C1677.pdf,C1701.pdf,C1781.pdf,C1789.pdf,C1791.pdf,C1796.pdf,C2098.pdf,C2139.pdf,C2144.pdf,C2235.pdf,C2250.pdf,C2256.pdf,C2287.pdf,C2430.pdf,C2546.pdf,C2603.pdf,C2607.pdf,C2652.pdf,C2669.pdf,C2720.pdf,C2775.pdf,C2808.pdf,C2836.pdf,C2838.pdf,C2872.pdf,C3014.pdf,C3017.pdf,C3019.pdf,C3045.pdf,C3127.pdf,C3142.pdf,C3169.pdf,C3226.pdf,C3315.pdf,C3363.pdf,C3416.pdf,C3445.pdf,C3464.pdf,C3539.pdf,C3557.pdf,C3570.pdf,C3620.pdf,C3627.pdf,C3717.pdf,C3761.pdf,C3771.pdf,C3821.pdf,C3830.pdf,C3863.pdf,C3899.pdf,C3912.pdf,C3922.pdf,C4021.pdf,C4024.pdf,C4194.pdf,C4256.pdf,C4277.pdf,C4307.pdf,C4331.pdf,C4336.pdf,C4439.pdf,C4444.pdf,C4460.pdf,C4482.pdf,C4507.pdf,C4523.pdf,C4552.pdf,C4573.pdf,C4602.pdf,C4627.pdf,C4686.pdf,C4742.pdf,C4760.pdf,C4919.pdf,C4999.pdf,C5007.pdf,C5121.pdf,C5125.pdf,C5230.pdf,C5339.pdf,C5390.pdf,C5451.pdf,C5507.pdf,C5591.pdf,C5638.pdf,C5649.pdf,C5661.pdf,C5725.pdf,C5756.pdf,C5767.pdf,C5786.pdf,C5804.pdf,C5951.pdf,C6059.pdf,C6129.pdf,C6140.pdf,C6239.pdf,C6277.pdf,C6302.pdf,C6315.pdf,C6357.pdf,C6384.pdf,C6507.pdf,C6583.pdf,C6592.pdf,C6631.pdf,C6658.pdf,C6746.pdf,C6768.pdf,C6776.pdf,C6942.pdf,C6951.pdf,C6979.pdf,C7032.pdf,C7093.pdf,C7094.pdf,C7128.pdf,C7226.pdf,C7228.pdf,C7230.pdf,C7231.pdf,C7242.pdf,C7254.pdf,C7315.pdf,C7318.pdf,C7482.pdf,C7492.pdf,C7497.pdf,C7527.pdf,C7535.pdf,C7543.pdf,C7550.pdf,C7554.pdf,C7733.pdf,C7775.pdf,C7784.pdf,C7831.pdf,C7842.pdf,C7869.pdf,C7934.pdf,C7979.pdf,C7996.pdf,C8035.pdf,C8063.pdf,C8203.pdf,C8239.pdf,C8398.pdf,C8420.pdf,C8518.pdf,C8564.pdf,C8631.pdf,C8676.pdf,C8692.pdf,C8730.pdf,C8760.pdf,C8782.pdf,C8810.pdf,C8849.pdf,C8886.pdf,C8928.pdf,C9104.pdf,C9117.pdf,C9142.pdf,C9146.pdf,C9165.pdf,C9200.pdf,C9207.pdf,C9228.pdf,C9262.pdf,C9282.pdf,C9342.pdf,C9369.pdf,C9533.pdf,C9534.pdf,C9567.pdf,C9590.pdf,C9628.pdf,C9677.pdf,C9742.pdf,C9777.pdf,C9779.pdf,C9884.pdf,C9897.pdf,C9919.pdf,C9945.pdf
Software Engineer,0.7787075,0.77143157,0.7617512,0.74927425,0.7887592,0.7557165,0.7505679,0.7669428,0.767638,0.7861415,0.77994376,0.7742195,0.78426695,0.7587396,0.77385515,0.7558511,0.77929866,0.76013327,0.77338076,0.7495343,0.7551172,0.6952387,0.7749877,0.75191504,0.7575225,0.75473833,0.7401082,0.7677387,0.7775609,0.7681956,0.7721197,0.7860647,0.78074884,0.7474257,0.76412,0.7630767,0.7841175,0.77938855,0.7822107,0.74855983,0.74511236,0.7498962,0.76603484,0.74599564,0.7742393,0.7812147,0.761937,0.76096976,0.757945,0.79701734,0.7738519,0.76802295,0.7584276,0.78496003,0.7347549,0.7669071,0.7550576,0.7654427,0.7825086,0.7830349,0.79025567,0.6916935,0.7673858,0.7792003,0.75343406,0.7878578,0.75595325,0.7333827,0.7787987,0.7508976,0.77929866,0.7787169,0.7706062,0.76616853,0.74893576,0.7587129,0.75602156,0.76650804,0.7787075,0.77749914,0.77129775,0.7811054,0.7543185,0.70123607,0.7678066,0.7600467,0.78777206,0.77247167,0.6894744,0.79033554,0.76760185,0.7685107,0.76778764,0.78189147,0.76780176,0.7828369,0.75538504,0.7635945,0.7570259,0.7775609,0.7540032,0.758406,0.787711,0.7494803,0.75813514,0.77355874,0.76163375,0.7993976,0.7242152,0.7511323,0.73418593,0.76237684,0.75298905,0.74724287,0.7597953,0.7353139,0.7508165,0.77241635,0.79100144,0.7596313,0.7815372,0.75177133,0.70945203,0.78411126,0.7664223,0.77862513,0.7438439,0.7090144,0.77756953,0.7860105,0.7774968,0.76498306,0.76555216,0.75855595,0.7556671,0.7233524,0.7769712,0.7558886,0.77896714,0.75509167,0.74684525,0.77903646,0.736837,0.7233137,0.75153697,0.7819921,0.75703263,0.7129394,0.75748825,0.76845324,0.75735193,0.7605457,0.75277364,0.7612941,0.7413161,0.77708435,0.7655449,0.7807791,0.78910375,0.7843131,0.7613005,0.74626243,0.7414484,0.7772366,0.75202465,0.78527516,0.73444766,0.7395522,0.7681936,0.7725824,0.7408714,0.73657125,0.74498254,0.73000634,0.7728128,0.75972,0.7496274,0.7596313,0.8108442,0.76261026,0.7759328,0.7442303,0.79190826,0.74763495,0.8043113,0.7494316,0.7868028,0.7854643,0.7547593,0.78845364,0.775169,0.73862875,0.7793397,0.770807,0.74767625,0.75365573,0.74258673,0.78523934,0.7678516,0.74682873
Data Scientist,0.7690071,0.778762,0.75937957,0.7565901,0.77671576,0.7450012,0.7607762,0.76875895,0.7670461,0.7750458,0.7693473,0.75883377,0.7714145,0.7476349,0.7511467,0.7677554,0.7711879,0.7656442,0.7650449,0.7278479,0.7422128,0.7149837,0.766244,0.74168515,0.76743686,0.7684926,0.753202,0.7622216,0.78822327,0.770795,0.7637668,0.77314866,0.7895832,0.74035513,0.765236,0.75973076,0.78582275,0.7851957,0.7780929,0.7596066,0.74522096,0.7635722,0.7650412,0.7542256,0.77498806,0.7945594,0.7461653,0.7759229,0.7543478,0.77985644,0.7737516,0.7702542,0.7442384,0.78145725,0.75553,0.74347687,0.75558794,0.7710482,0.7781149,0.79131,0.775822,0.7125793,0.7549436,0.78784513,0.7570541,0.78208953,0.7608609,0.73042107,0.772843,0.76266634,0.7711879,0.7806554,0.76158386,0.7687192,0.7363643,0.75928533,0.7788025,0.75910264,0.7690071,0.7794279,0.7706543,0.7930482,0.76861954,0.7208885,0.7769997,0.7593318,0.7908226,0.7724611,0.70789814,0.78100216,0.7727039,0.76618266,0.7574882,0.7682563,0.7848871,0.77507913,0.7669693,0.76920396,0.7458688,0.78822327,0.7516849,0.75358534,0.7785838,0.7595416,0.771627,0.7853863,0.7615579,0.79548675,0.7116287,0.7649023,0.74050814,0.766273,0.7646017,0.75784343,0.7538807,0.73054147,0.7561643,0.7858578,0.79614735,0.734925,0.7785129,0.7582851,0.7296961,0.7827095,0.7616203,0.7729361,0.7500236,0.72374815,0.78898287,0.7885623,0.77982104,0.78302735,0.7652812,0.77889085,0.75192916,0.74655133,0.7870921,0.7660783,0.76700616,0.74374485,0.7526531,0.77473843,0.7525783,0.74697113,0.75732434,0.77087647,0.74929047,0.7276114,0.77493083,0.76008487,0.75548136,0.76644117,0.7424229,0.75844765,0.75993717,0.7779145,0.76538503,0.778769,0.79396087,0.7676118,0.75570464,0.7628671,0.74431497,0.7680383,0.7537712,0.7929809,0.74018484,0.7259276,0.77702373,0.77678764,0.73644847,0.7534508,0.76369166,0.7495589,0.7665014,0.7518533,0.76536137,0.734925,0.8052029,0.7518,0.7768436,0.7429668,0.7847463,0.7742343,0.79114354,0.7683975,0.77670765,0.7774947,0.7539555,0.7904836,0.7817637,0.7544223,0.76238024,0.7772266,0.746551,0.74616194,0.7538213,0.776509,0.7658155,0.7669991
Product Manager,0.7474878,0.7434377,0.73357105,0.71411836,0.77031434,0.73012537,0.7213392,0.74469423,0.7410817,0.7472275,0.7427946,0.7483229,0.7572696,0.73267007,0.7349614,0.72892594,0.7435881,0.7248161,0.73877853,0.7092509,0.71997374,0.67662024,0.7441467,0.72103626,0.7381777,0.7231047,0.7115853,0.73962593,0.7476258,0.7310963,0.7487036,0.75466216,0.74870366,0.7195041,0.73021406,0.7334553,0.75087285,0.752671,0.75094974,0.7222092,0.71255654,0.71701366,0.74868345,0.7244608,0.7411994,0.7493729,0.7172407,0.7310069,0.7283801,0.77383506,0.74319875,0.73837376,0.72607845,0.7579843,0.70466125,0.72672415,0.7199355,0.7295114,0.75300187,0.7566559,0.7696079,0.6729753,0.73752666,0.74625635,0.7312584,0.75918496,0.7313512,0.6988522,0.7476089,0.72755635,0.7435881,0.7490296,0.7365439,0.7440839,0.72370356,0.72605217,0.72756016,0.7393272,0.7474878,0.7531127,0.74291533,0.75535476,0.72114813,0.679302,0.7409119,0.74151975,0.75293803,0.7376547,0.6695513,0.76254547,0.73607063,0.7446332,0.73694146,0.75494325,0.73952013,0.7560631,0.72406834,0.7320073,0.7290783,0.7476258,0.7273275,0.7238666,0.757092,0.72609735,0.722527,0.74983037,0.7257371,0.7703859,0.7083786,0.7211737,0.71314335,0.73246545,0.72036135,0.71156776,0.7326307,0.7000333,0.7187229,0.73672354,0.7557926,0.7202178,0.7455865,0.73361033,0.6799038,0.7629723,0.7336568,0.7474591,0.7209448,0.68633866,0.748508,0.7634171,0.7593504,0.7313256,0.7399716,0.7301132,0.7198387,0.6950039,0.7546862,0.72177225,0.75376534,0.7302141,0.7248323,0.75699246,0.705398,0.69839525,0.720683,0.7513812,0.7252474,0.69662565,0.72540325,0.7283483,0.72243553,0.7291482,0.7280743,0.7328298,0.7146078,0.7438979,0.7430947,0.7532282,0.7555643,0.75407374,0.73355067,0.7084924,0.7071545,0.7454273,0.713416,0.7574858,0.70897394,0.71915066,0.73514175,0.7414497,0.7073514,0.70637864,0.71853024,0.69708943,0.7443426,0.7323214,0.71995974,0.7202178,0.7748765,0.7252234,0.73981786,0.7093796,0.76147825,0.7182818,0.785342,0.72243905,0.76325905,0.7539175,0.7188735,0.7576834,0.7446135,0.7073035,0.74429977,0.74375284,0.7213003,0.7266195,0.7184023,0.7618449,0.73753834,0.7213529
Cloud Engineer,0.7203236,0.7249675,0.7257595,0.70310825,0.738408,0.7107309,0.7241168,0.732389,0.7155809,0.7237969,0.71513456,0.72093093,0.7296795,0.70297444,0.7113452,0.73372173,0.7234529,0.7192255,0.7118887,0.6785068,0.70718765,0.6797956,0.72109985,0.6840603,0.73036975,0.72240806,0.72505563,0.7100869,0.7386421,0.7238876,0.73576105,0.7320091,0.7369446,0.7202822,0.7184073,0.7113457,0.7319484,0.73532623,0.7318653,0.73566765,0.69249094,0.7224304,0.7317933,0.70853406,0.7215649,0.7401885,0.69273806,0.7231635,0.70698434,0.7439779,0.72078717,0.7164706,0.70452607,0.7273867,0.71662265,0.71262133,0.6990985,0.7250916,0.7273946,0.74147046,0.73670614,0.6814784,0.70604384,0.728979,0.71478844,0.72505987,0.7274,0.6733179,0.71943736,0.7171691,0.7234529,0.7318179,0.71409005,0.7154268,0.6905657,0.7023656,0.7356149,0.7081592,0.7203236,0.7283559,0.71639395,0.7367411,0.72634524,0.6917393,0.7478614,0.7238408,0.7345535,0.7218812,0.6817938,0.7271532,0.71442914,0.7308799,0.7065932,0.72555614,0.73485184,0.74350995,0.715157,0.7251282,0.6956818,0.7386421,0.69984007,0.6936807,0.7345171,0.7237469,0.71959573,0.72785246,0.7009519,0.74301726,0.6729787,0.72734475,0.6963248,0.7134571,0.7241469,0.7017935,0.70046353,0.68180764,0.70882887,0.7333301,0.74094003,0.6980414,0.7253519,0.7191062,0.68687075,0.74485815,0.708958,0.72170895,0.7086858,0.67255276,0.73574346,0.7287301,0.745575,0.7359934,0.71701086,0.73556674,0.70241624,0.702523,0.7385193,0.7142581,0.7274967,0.70863676,0.7182888,0.7385604,0.71860945,0.7148504,0.7310511,0.726631,0.6926981,0.70157987,0.72461855,0.7134357,0.7061813,0.72695076,0.7059847,0.70535755,0.71820456,0.72462237,0.7383055,0.7187635,0.74052906,0.7215617,0.7061681,0.7100558,0.68223417,0.7193155,0.70086455,0.7391129,0.70559,0.68160415,0.7202879,0.7364106,0.68578887,0.72085,0.7224557,0.6986288,0.7156439,0.6981149,0.71379834,0.6980414,0.7531257,0.7091276,0.72309864,0.68697613,0.7314782,0.7232167,0.7468469,0.7253179,0.725462,0.73203236,0.7011513,0.7363843,0.73509073,0.70648164,0.7148056,0.7118527,0.7115421,0.7124835,0.7139502,0.72950304,0.7133641,0.73665404
Cybersecurity Analyst,0.69351375,0.6967298,0.6908566,0.67143977,0.6956774,0.67387736,0.6811751,0.69983417,0.6861959,0.69105303,0.68914884,0.6781546,0.70058286,0.6600305,0.67659307,0.6932898,0.6862615,0.68593436,0.6710069,0.6448072,0.6748133,0.64516985,0.693431,0.6452731,0.69968814,0.6737139,0.67920244,0.6847724,0.693013,0.6880297,0.6824968,0.6935618,0.7042111,0.68159467,0.686021,0.6839037,0.70509577,0.69799364,0.6940229,0.68849814,0.6642079,0.6801657,0.7002166,0.68312156,0.68530905,0.7062223,0.65497017,0.6771755,0.6773569,0.7111125,0.69183695,0.6788584,0.67074347,0.7049075,0.6698384,0.6750926,0.6665197,0.6791278,0.6937301,0.70294833,0.700228,0.6431306,0.6763608,0.6986644,0.6890003,0.7023992,0.690102,0.6439178,0.6872673,0.68875617,0.6862615,0.6986431,0.6855221,0.6840577,0.6473196,0.6771718,0.6829528,0.68091404,0.69351375,0.6970434,0.69206023,0.69751745,0.6823875,0.64732313,0.7037362,0.6986444,0.70472866,0.690451,0.637638,0.69506955,0.6877455,0.7020612,0.68272924,0.6931933,0.69615734,0.71366465,0.6762258,0.6890478,0.6534978,0.693013,0.6724733,0.66240746,0.70041937,0.6859739,0.6808982,0.6897911,0.6752211,0.7160638,0.6314593,0.6841285,0.6644523,0.67951936,0.6794795,0.6702164,0.67578113,0.65684044,0.6784915,0.6942797,0.70806247,0.6643547,0.70049727,0.6921113,0.64673275,0.72039706,0.6817359,0.69692415,0.6830482,0.6368575,0.69563353,0.69501555,0.7109889,0.69323695,0.6899644,0.68962437,0.6686603,0.65827984,0.6997391,0.6796832,0.6820288,0.67259395,0.6784804,0.7141593,0.66759354,0.6655433,0.68737376,0.69213104,0.6645464,0.66543514,0.68423724,0.6851255,0.67502403,0.684708,0.67169064,0.6747776,0.67641354,0.68929493,0.6999126,0.69815826,0.7109238,0.6966736,0.67386943,0.6681801,0.6489806,0.6891816,0.6706915,0.7011973,0.6707621,0.64301866,0.6748343,0.6894075,0.66732806,0.6698004,0.6807897,0.66230935,0.68816036,0.6570377,0.67243373,0.6643547,0.7206383,0.6760936,0.69771,0.6665708,0.70690006,0.686763,0.7167866,0.6818826,0.7014345,0.6951148,0.6707948,0.70639634,0.70126647,0.6723306,0.6845877,0.6780227,0.6780476,0.68037415,0.67583025,0.70103914,0.6894651,0.6818515
Machine Learning Engineer,0.7172835,0.72135216,0.71650195,0.6964032,0.7299721,0.69325626,0.71698385,0.7197746,0.71089613,0.7084925,0.70172584,0.70576835,0.7181529,0.6773374,0.6938267,0.73464435,0.7044475,0.71125126,0.6892775,0.658363,0.6926043,0.6847417,0.7124125,0.6627734,0.72697777,0.71373093,0.7192273,0.70315033,0.73234105,0.7186484,0.7089503,0.7210957,0.73478806,0.7046436,0.7117433,0.70514977,0.72729087,0.724768,0.7164387,0.73364484,0.68091846,0.7190631,0.72378004,0.7059827,0.7130187,0.73584294,0.67570543,0.7123345,0.69946885,0.7302904,0.7132479,0.70470226,0.6896372,0.71971446,0.7111526,0.69401073,0.6843246,0.70572484,0.7176117,0.7329599,0.72792214,0.68310905,0.6933321,0.73055357,0.70777965,0.71567273,0.723557,0.66191727,0.7066448,0.7120819,0.7044475,0.7187797,0.70401865,0.7126755,0.6648121,0.69320405,0.7243933,0.6945392,0.7172835,0.7164927,0.7093958,0.7227843,0.717736,0.6922561,0.74314725,0.7128115,0.7284143,0.71686196,0.6818255,0.7117406,0.7126824,0.72484004,0.6935574,0.7165654,0.72959733,0.730679,0.7003924,0.71387535,0.671021,0.73234105,0.69984186,0.68146026,0.7212511,0.7228601,0.7138601,0.7158381,0.6974869,0.7359805,0.6483348,0.7229506,0.6915286,0.7108867,0.71607995,0.69786906,0.6897249,0.670448,0.7019274,0.7278875,0.73810184,0.6800574,0.7196953,0.7114643,0.68278456,0.7390796,0.7012358,0.71348333,0.70039886,0.66732085,0.7261112,0.7146236,0.73572767,0.7270349,0.70838463,0.7266876,0.6927233,0.69661856,0.7278626,0.7151779,0.70240587,0.6929592,0.7120791,0.731902,0.708771,0.7035496,0.72578615,0.7116251,0.6862992,0.69904375,0.7074801,0.702458,0.6987376,0.7152625,0.69041824,0.6966204,0.72169566,0.712468,0.7282516,0.71278393,0.73631966,0.7156535,0.6998499,0.7066381,0.6694416,0.7125799,0.6927731,0.7273451,0.6992674,0.6563072,0.70779365,0.72691333,0.67282915,0.7101829,0.717594,0.6984789,0.708789,0.6717905,0.6957313,0.6800574,0.7411219,0.6949706,0.7181001,0.67530346,0.72338706,0.7168697,0.7381512,0.7239411,0.7177932,0.7183953,0.693683,0.73143727,0.7314464,0.69874734,0.70004094,0.69549,0.70381325,0.6987697,0.70977044,0.7246486,0.7016593,0.7208769
DevOps Engineer,0.71096134,0.7150867,0.7233458,0.6974653,0.7297856,0.7155412,0.7117395,0.7315942,0.7065695,0.7216572,0.7087814,0.723226,0.7215829,0.7075708,0.70936316,0.7277236,0.7218127,0.7101685,0.7114874,0.6715877,0.7063767,0.6837777,0.7177072,0.6928253,0.7283083,0.7038775,0.7182654,0.70803744,0.7197014,0.7121268,0.73084927,0.71911657,0.7239462,0.7229687,0.7073812,0.7060927,0.7215316,0.72503877,0.7294719,0.7263718,0.68887573,0.70727366,0.7298153,0.7091322,0.7125356,0.727122,0.6804185,0.71381176,0.70029724,0.7416599,0.714358,0.71531725,0.705718,0.7214982,0.7030754,0.7089816,0.6955121,0.7154245,0.71846926,0.73068213,0.7328693,0.6843537,0.7010511,0.7171619,0.716049,0.7178391,0.724473,0.6680625,0.7092211,0.71654785,0.7218127,0.72546804,0.70983195,0.70748305,0.6965096,0.69908035,0.71853745,0.70102465,0.71096134,0.72188634,0.7128947,0.7277906,0.71363,0.6901076,0.7408781,0.72598314,0.7252451,0.71115637,0.68017113,0.7193695,0.7046698,0.7291674,0.70173115,0.7212528,0.7297935,0.7427577,0.71017015,0.7259897,0.70260096,0.7197014,0.6922545,0.6899535,0.727661,0.7206649,0.70677984,0.71894085,0.6964298,0.7318909,0.6860397,0.722187,0.7019616,0.70168597,0.70892566,0.6954967,0.694654,0.67830527,0.701174,0.71936435,0.72661775,0.69628644,0.7147659,0.7207407,0.67680824,0.74629426,0.704038,0.71804106,0.7115506,0.6763456,0.72537065,0.7227156,0.74277085,0.72192097,0.7148031,0.7218096,0.6906158,0.68734115,0.72937006,0.6997781,0.72837305,0.7142311,0.7141181,0.74314886,0.70166695,0.7023612,0.72464526,0.71518505,0.6890216,0.70242155,0.7193767,0.70727164,0.69814444,0.71218455,0.71216935,0.7025704,0.7113386,0.7218102,0.7351309,0.7155682,0.7297877,0.7160225,0.6957676,0.6945714,0.67377853,0.7098348,0.6931004,0.73008114,0.7037947,0.69067544,0.7116561,0.71803695,0.6863965,0.70399284,0.7186585,0.68778384,0.7115041,0.7034066,0.7113397,0.69628644,0.7426691,0.6994235,0.7138828,0.6854948,0.7203451,0.7167909,0.7430368,0.7108232,0.7178346,0.7185466,0.69150037,0.7236253,0.7203168,0.69918495,0.7048349,0.71716654,0.70748115,0.7126623,0.7106667,0.7238109,0.7084235,0.7210453
Full Stack Developer,0.7701434,0.7612077,0.75478923,0.7462094,0.7853941,0.7492704,0.7595291,0.7659355,0.7642455,0.7845242,0.7664795,0.7716143,0.77899134,0.76967853,0.7657573,0.7584941,0.78267753,0.76244956,0.7798445,0.7468174,0.7409955,0.6910579,0.76980215,0.7554784,0.746302,0.7790465,0.7485137,0.7615368,0.7941885,0.76973146,0.78154075,0.77748525,0.7735937,0.7371745,0.7639215,0.75010765,0.77369976,0.7803695,0.7790809,0.75325537,0.73334,0.7585981,0.75537133,0.73008275,0.7758497,0.77490735,0.7585868,0.7616047,0.7526703,0.7973769,0.77165043,0.76263744,0.7473227,0.7733104,0.7451236,0.75347674,0.7474569,0.77208155,0.78246963,0.7830144,0.78916913,0.6936549,0.7598605,0.7660702,0.74411714,0.7735585,0.75683415,0.7221917,0.780322,0.74290264,0.78267753,0.78130555,0.75789607,0.7552308,0.7617756,0.746027,0.7792355,0.7587395,0.7701434,0.7729403,0.76800996,0.7866319,0.7678268,0.70933616,0.7696084,0.7557886,0.78020597,0.76943153,0.69702023,0.79096663,0.7530986,0.75702286,0.750614,0.7735716,0.77473354,0.77851284,0.7597071,0.75690395,0.76795113,0.7941885,0.7369957,0.7530146,0.7865417,0.74363333,0.7704535,0.7773479,0.74559414,0.7823619,0.7339543,0.7569307,0.72104514,0.7588175,0.76546216,0.7430874,0.7480338,0.718401,0.74281466,0.78025466,0.7858324,0.7484226,0.76612115,0.7442785,0.7220752,0.77621126,0.7614981,0.77735215,0.7367581,0.7055949,0.7820265,0.79603297,0.7738489,0.7806461,0.7557227,0.7725415,0.7554312,0.7387635,0.7766957,0.75324994,0.7839438,0.74777436,0.7374747,0.7649073,0.7550887,0.74343354,0.75202894,0.78273165,0.7383271,0.71060205,0.7597302,0.7546765,0.75700885,0.77013206,0.7408838,0.74598956,0.746457,0.77430695,0.7644551,0.7647832,0.7781768,0.77511954,0.74647033,0.75929093,0.73478174,0.7737574,0.75026953,0.7890179,0.72074664,0.7460736,0.7657984,0.78601336,0.7249118,0.75456583,0.74978906,0.7341913,0.7597394,0.7686163,0.7575418,0.7484226,0.80033517,0.75338846,0.76447177,0.73076993,0.7755623,0.7568923,0.80628824,0.75775325,0.77694577,0.78092617,0.7542526,0.78197765,0.7678041,0.74208224,0.76579815,0.7725961,0.7355818,0.7423878,0.747396,0.77488893,0.75628173,0.77546704
Big Data Engineer,0.7458137,0.7524613,0.7423432,0.7327733,0.7556967,0.7234788,0.74417675,0.7370508,0.7376497,0.75866127,0.7464417,0.74911165,0.75135636,0.725619,0.74184805,0.74989265,0.7535566,0.7432532,0.7428634,0.7202451,0.72473896,0.69058865,0.7438114,0.71687824,0.7405875,0.7522539,0.7365843,0.73193526,0.76550484,0.7521028,0.7513782,0.7514177,0.76429826,0.7248199,0.7456536,0.73081464,0.75688404,0.75370026,0.7561698,0.74509835,0.7182064,0.74409765,0.73611206,0.71617484,0.74903244,0.7638734,0.73045105,0.7485369,0.73753536,0.7647179,0.7478271,0.7454263,0.7251195,0.753518,0.7358122,0.7353683,0.72668695,0.74515283,0.75015557,0.75571847,0.75952417,0.693439,0.741409,0.75669134,0.72427034,0.750788,0.7453331,0.7025825,0.74799514,0.7246293,0.7535566,0.7528162,0.7414587,0.7354435,0.7142886,0.73210835,0.7530598,0.7330084,0.7458137,0.7491784,0.7402607,0.75167227,0.74771506,0.70372677,0.7581476,0.73382205,0.7648105,0.7493714,0.69480294,0.75749594,0.7416001,0.73796207,0.7330892,0.74707687,0.7587573,0.7536925,0.7437115,0.73928297,0.7215275,0.76550484,0.72161525,0.7275524,0.7563119,0.7371469,0.7478725,0.7481308,0.73075175,0.76413476,0.6915057,0.7429327,0.70856464,0.7433093,0.7478162,0.72826767,0.7237712,0.70874584,0.73029983,0.7593253,0.7705656,0.7261164,0.75211906,0.7267821,0.7127797,0.7550665,0.7354084,0.74934304,0.71777016,0.6883422,0.7509148,0.75231135,0.75038064,0.7580715,0.7300997,0.75644547,0.7332927,0.7259363,0.75275254,0.74435747,0.75950295,0.7232307,0.7251904,0.75156593,0.73637044,0.7306935,0.74580526,0.7523682,0.7201272,0.7057568,0.74336857,0.7388663,0.7372929,0.74726963,0.7198323,0.7285867,0.7344618,0.7517564,0.74948496,0.74307674,0.7687038,0.7480525,0.72853214,0.7387947,0.71129155,0.7440419,0.73211944,0.7569658,0.71383345,0.7128604,0.74830145,0.76018625,0.7127396,0.73667425,0.732239,0.7251744,0.7371986,0.72936404,0.73935294,0.7261164,0.77937883,0.7354516,0.7524068,0.71766096,0.757779,0.7410837,0.7702031,0.7483636,0.7495353,0.7523896,0.73388284,0.7619171,0.76085854,0.7274035,0.74499756,0.7479373,0.7193779,0.72535026,0.72887975,0.7493282,0.7338823,0.7506671
